id,url
1,https://img.freepik.com/free-psd/visiting-card-mock-up-arrangement_23-2149040925.jpg
2,https://img.freepik.com/free-vector/assorted-business-cards-templates_23-2147491047.jpg
3,https://img.freepik.com/free-psd/modern-stationery-mock-up-design-branding-corporate-identity-graphic-designers-presentations-with-shadow-overlay_1150-41187.jpg
4,https://img.freepik.com/free-vector/podcast-talk-logo-icon-business-card-design-template-inspiration_340145-116.jpg
5,https://img.freepik.com/free-vector/breakfast-menu-horizontal-business-card_23-2148600257.jpg
6,https://img.freepik.com/free-vector/minimal-id-cards-template-concept_52683-45721.jpg
7,https://img.freepik.com/free-vector/abstract-business-card-template_23-2148981886.jpg
8,https://img.freepik.com/free-photo/blank-white-business-card-presentation-corporate-identity-wood-background_1150-2285.jpg
9,https://img.freepik.com/free-vector/modern-business-card_1361-1054.jpg
10,https://img.freepik.com/free-photo/businesswoman-holding-business-card-asking-call_144627-55121.jpg
11,https://img.freepik.com/free-vector/spot-light-business-card-template_23-2148649637.jpg
12,https://img.freepik.com/free-vector/lottery-tickets-balls-flying-golden-coins-gambling-business-advertising_1262-13075.jpg
13,https://img.freepik.com/free-vector/elegant-business-card-template_23-2148100998.jpg
14,https://img.freepik.com/free-psd/business-card-set-mockup_47987-1878.jpg
15,https://img.freepik.com/free-psd/square-business-cards-mockup-stacked-set_1332-2429.jpg
16,https://img.freepik.com/free-vector/business-letterhead-with-business-card-templates-design-vector-illustration_460848-576.jpg
17,https://img.freepik.com/free-photo/blonde-girl-received-business-card-surprized_144627-57786.jpg
18,https://img.freepik.com/free-photo/girl-holding-coffee-cup-one-hand-presenting-her-business-card-another-hand_144627-55841.jpg
19,https://img.freepik.com/free-psd/blank-business-card-mockup-design_53876-98758.jpg
20,https://img.freepik.com/free-vector/abstract-business-cards-template-with-flowers_1305-6846.jpg
21,https://img.freepik.com/free-vector/business-card-restaurant-with-wooden-background_1051-1148.jpg
22,https://img.freepik.com/free-vector/elegant-green-business-card-layout-design_1017-32267.jpg
23,https://img.freepik.com/free-vector/pastel-gradient-business-card-template_23-2148572621.jpg
24,https://img.freepik.com/free-vector/minimalist-elegant-luxury-logo-luxury-abstract-logo-business-card-design_258369-101.jpg
25,https://img.freepik.com/free-vector/stylish-horizontal-flyer-design_1409-483.jpg
26,https://img.freepik.com/free-psd/hand-holding-paper-card-advertisement_53876-57336.jpg
27,https://img.freepik.com/free-vector/vector-illustration-realistic-style-concept-mobile-payments-using-application-your-smartphone_1441-232.jpg
28,https://img.freepik.com/free-psd/business-cards-wooden-background-top-view_23-2148652675.jpg
29,https://img.freepik.com/free-psd/colorful-business-card-mock-up_1409-1096.jpg
30,https://img.freepik.com/free-vector/business-card-template-set-with-watercolor-flowers_1305-2046.jpg
31,https://img.freepik.com/free-vector/business-card-template-with-photo-city_23-2148806703.jpg
32,https://img.freepik.com/free-psd/rounded-corner-business-cards-mockup_358694-99.jpg
33,https://img.freepik.com/free-vector/id-card-with-abstract-shapes_23-2148681683.jpg
34,https://img.freepik.com/free-psd/branding-identity-business-card-mock-up-shadow_23-2148630453.jpg
35,https://img.freepik.com/free-photo/male-hand-dials-pin-code-pin-pad-card-machine-pos-terminal-with-inserted-blank-white-credit-card-isolated-white-background-payment-with-credit-card-businessman-holding-pos-terminal_1391-257.jpg
36,https://img.freepik.com/free-psd/identity-branding-stationery-mockup_439185-293.jpg
37,https://img.freepik.com/free-vector/auto-logo_74829-99.jpg
38,https://img.freepik.com/free-vector/minimalist-elegant-luxury-logo-luxury-abstract-logo-business-card-design_258369-79.jpg
39,https://img.freepik.com/free-vector/memphis-style-business-cards_23-2148650169.jpg
40,https://img.freepik.com/free-psd/real-estate-business-card-template_23-2148937606.jpg
41,https://img.freepik.com/free-psd/vintage-business-card-mockup_23-2147936432.jpg
42,https://img.freepik.com/free-vector/blue-wavy-business-flyer-brochure-design-template_1017-12464.jpg
